user,year,camera,longitude,latitude,url
44124466908@N01,2010,APPLE,-122.401052,37.785936,http://farm5.staticflickr.com/4023/4288937496_1150078a04.jpg
98601772@N00,2007,CANON,-122.4428,37.7782,http://farm1.staticflickr.com/141/358333929_730de8be8d.jpg
21375941@N08,2013,OLYMPUS,-122.40156,37.789444,http://farm4.staticflickr.com/3804/9216079654_91f4291fbb.jpg
72959997@N00,2012,APPLE,-122.292,37.830667,http://farm9.staticflickr.com/8185/8082168282_ab1c896357.jpg
70317244@N00,2010,CANON,-122.431286,37.808369,http://farm5.staticflickr.com/4030/4664457996_87c46b841c.jpg
36899024@N00,2008,CANON,-122.391343,37.781553,http://farm4.staticflickr.com/3171/2771363719_66bf964bd6.jpg
38331851@N00,2005,NIKON,-122.406191,37.796966,http://farm9.staticflickr.com/8333/8125830709_6da3b792b5.jpg
7241476@N04,2010,APPLE,-122.468167,37.655833,http://farm2.staticflickr.com/1232/5129640991_3cbcf2996f.jpg
10011817@N00,2009,PANASONIC,-122.427456,37.758429,http://farm4.staticflickr.com/3623/3477285534_5a9cbf87bf.jpg
34581217@N00,2013,SAMSUNG,-122.392678,37.795369,http://farm8.staticflickr.com/7366/10349820235_c5b51638a5.jpg
27737826@N00,2005,CANON,-122.422794,37.826743,http://farm1.staticflickr.com/18/71671668_34907e0698.jpg
98601772@N00,2010,CANON,-122.302386,37.546101,http://farm5.staticflickr.com/4048/5166346430_06b8e6c835.jpg
44124466908@N01,2008,NIKON,-122.43517,37.762292,http://farm3.staticflickr.com/2079/2496895740_17c99d1269.jpg
23119895@N00,2006,CANON,-122.438592,37.79154,http://farm1.staticflickr.com/119/290098782_b3970f0934.jpg
51035555243@N01,2009,CANON,-122.397881,37.795111,http://farm8.staticflickr.com/7125/7472192860_24ac0ea939.jpg
69802924@N00,2010,NIKON,-122.409592,37.793723,http://farm5.staticflickr.com/4060/4707850147_e76686d58d.jpg
80105142@N00,2010,CANON,-122.376505,37.822899,http://farm5.staticflickr.com/4119/4747630385_b18bd68968.jpg
49285346@N00,2007,CANON,-122.420139,37.807224,http://farm2.staticflickr.com/1254/1289975891_ab62befd67.jpg
40989835@N03,2010,CANON,-122.434646,37.760906,http://farm3.staticflickr.com/2725/4469341386_833deb53a1.jpg
66922282@N00,2004,CANON,-122.318397,37.871537,http://farm1.staticflickr.com/53/110376508_53e7e09625.jpg
22257962@N00,2006,NIKON,-122.470693,37.808427,http://farm1.staticflickr.com/96/247192547_2e6e0a340d.jpg
44124466908@N01,2009,NIKON,-122.413834,37.78,http://farm4.staticflickr.com/3570/3646048479_14e6168c90.jpg
63936444@N04,2012,NIKON,-122.422447,37.772632,http://farm9.staticflickr.com/8336/8083823321_2003e89719.jpg
35034347485@N01,2012,SAMSUNG,-122.32,37.869444,http://farm9.staticflickr.com/8427/7674754146_0484098bc5.jpg
72426516@N00,2006,PANASONIC,-122.390302,37.778397,http://farm1.staticflickr.com/65/196754706_040439e542.jpg
44124466908@N01,2012,SONY,-122.398081,37.775486,http://farm9.staticflickr.com/8218/8311953640_435c32b242.jpg
34168709@N00,2009,OLYMPUS,-122.50185,37.732488,http://farm5.staticflickr.com/4040/4270475023_0e38fcd260.jpg
